Density = 0.05	Random = 0.03	TopR = 10
UMEAN:	1.1008889225818923	2.3833893344377732
IMEAN:	0.9018531561532589	1.6602276402900888
UPCC:	0.8693528708464787	2.1743783916356234
IPCC:	0.8144750431352159	1.698095135043192
UIPCC:	0.7602548962031549	1.5946354414671406
URR_UPCC:	0.6444478800901999	1.6935548793960178
URR_IPCC:	0.7266652758573318	1.6506038087677004
URR_UIPCC:	0.614965229022793	1.5037455508019493

Density = 0.1	Random = 0.03	TopK = 34
UMEAN:	1.1350157318227114	2.4580023858941833
IMEAN:	0.8947124356673224	1.601426975227968
UPCC:	0.7936677520342408	2.094221235843843
IPCC:	0.7206067635829866	1.5370169835321235
UIPCC:	0.6914774134692891	1.4753456575809687
URR_UPCC:	0.5290531399580639	1.4347463419963413
URR_IPCC:	0.6700697516374982	1.5146717715180789
URR_UIPCC:	0.5231432874343513	1.357843879131234

Density = 0.15	Random = 0.03	TopR = 10
UMEAN:	1.124427445593608	2.4348932512172805
IMEAN:	0.8848771269835732	1.5777369960341452
UPCC:	0.7444584046571368	2.0153001703885436
IPCC:	0.61093504364739	1.3978866348631342
UIPCC:	0.6017632134330325	1.3638576075911104
URR_UPCC:	0.48673749793151905	1.3269476840704406
URR_IPCC:	0.5711881816085632	1.3711365300880796
URR_UIPCC:	0.47712800270350564	1.264020156523839

Density = 0.2	Random = 0.03	TopR = 10
UMEAN:	1.122298260930127	2.430815120568086
IMEAN:	0.8780403927251874	1.5674980568500032
UPCC:	0.7266691438840982	1.986006037610428
IPCC:	0.5327025095350436	1.3177975507526218
UIPCC:	0.5324103160141015	1.2977965709504786
URR_UPCC:	0.4741245000615503	1.2889219698034553
URR_IPCC:	0.4759558408331004	1.2607153028328055
URR_UIPCC:	0.444496580771949	1.2081151168132542

Density = 0.25	Random = 0.03	TopR = 10
UMEAN:	1.1314218174936055	2.457904872233579
IMEAN:	0.8852331315342646	1.5634059698332377
UPCC:	0.7092339037485226	1.9542362174520604
IPCC:	0.501506804862068	1.2669845024318458
UIPCC:	0.501506804862068	1.2529218819498
URR_UPCC:	0.45678662632070444	1.2391428910156481
URR_IPCC:	0.4463792617448083	1.2196244816011308
URR_UIPCC:	0.4229538817021197	1.1727361831031773

Density = 0.3	Random = 0.03	TopR = 10
UMEAN:	1.1273988480404742	2.4459690021444085
IMEAN:	0.8755716848707558	1.5595032818419305
UPCC:	0.7019259431586586	1.9580667703995458
IPCC:	0.475848611714356	1.2236374343900285
UIPCC:	0.475848611714356	1.2143742289318502
URR_UPCC:	0.44756880640484287	1.2261771057130613
URR_IPCC:	0.42096362788275316	1.182077528640672
URR_UIPCC:	0.4063616001349578	1.1480135268078606
