Density = 0.1	Random = 0.03	TopR = 13
UMEAN:	1.1132866524065403	2.4256665527407026
IMEAN:	0.8851491311046833	1.5950613036117978
UPCC:	0.7790685596632397	2.075027290732473
IPCC:	0.7193321220721282	1.5376679860919549
UIPCC:	0.6854205560186823	1.4741933469053208
URR_UPCC:	0.5510957409609387	1.5063425859856876
URR_IPCC:	0.6641504888086572	1.5167056576956917
URR_UIPCC:	0.5392904176560451	1.3907775812941567

Density = 0.1	Random = 0.03	TopR = 17
UMEAN:	1.1132866524065403	2.4256665527407026
IMEAN:	0.8851491311046833	1.5950613036117978
UPCC:	0.7790685596632397	2.075027290732473
IPCC:	0.7193321220721282	1.5376679860919549
UIPCC:	0.6854205560186823	1.4741933469053208
URR_UPCC:	0.5677138996805252	1.5552059582091406
URR_IPCC:	0.6623080778659213	1.5223328390793702
URR_UIPCC:	0.5507744613563088	1.410944690033889
Density = 0.1	Random = 0.03	TopR = 20
UMEAN:	1.1132866524065403	2.4256665527407026
IMEAN:	0.8851491311046833	1.5950613036117978
UPCC:	0.7790685596632397	2.075027290732473
IPCC:	0.7193321220721282	1.5376679860919549
UIPCC:	0.6854205560186823	1.4741933469053208
URR_UPCC:	0.5770290990277543	1.5769209271154085
URR_IPCC:	0.6620078003038469	1.5232104971974672
URR_UIPCC:	0.5574235931089822	1.4194946003727864

